herramienta,severidad,hallazgo,control_iso27001,objetivo_cobit
Trivy,High,CVE-2026-33814 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-33818 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-39820 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-39821 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-39822 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-39836 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-42499 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-42504 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56853 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56858 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56859 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56860 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-56862 en stdlib v1.24.6,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en bsdutils 1:2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en bsdutils 1:2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en bsdutils 1:2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en bsdutils 1:2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-24882 en dirmngr 2.4.7-21+deb13u1+b4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-24882 en gnupg 2.4.7-21+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-24882 en gnupg-l10n 2.4.7-21+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-24882 en gpg 2.4.7-21+deb13u1+b4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-24882 en gpg-agent 2.4.7-21+deb13u1+b4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-24882 en gpgconf 2.4.7-21+deb13u1+b4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-24882 en gpgsm 2.4.7-21+deb13u1+b4,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-41992 en gzip 1.13-1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-54369 en libacl1 2.3.2-2+b1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en libblkid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en libblkid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en libblkid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en libblkid1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en liblastlog2-2 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en liblastlog2-2 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78409 en liblastlog2-2 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78410 en liblastlog2-2 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-76642 en libmount1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
Trivy,High,CVE-2026-78408 en libmount1 2.41.5-0+deb13u1,A.8.8 Management of technical vulnerabilities,DSS05.07
